2471-2566,ACM TRANSACTIONS ON PRIVACY AND SECURITY B4
1049-331X,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY A2
1559-1131,ACM TRANSACTIONS ON THE WEB A2
2576-6422,ACS APPLIED BIO MATERIALS B3
2574-0962,ACS APPLIED ENERGY MATERIALS B4
1944-8252,ACS APPLIED MATERIALS & INTERFACES (ONLINE) A1
4283-4293,ACS APPLIED NANO MATERIALS B4
2373-9878,ACS BIOMATERIALS SCIENCE & ENGINNERING A2
2155-5435,ACS CATALYSIS A1
2374-7951,ACS CENTRAL SCIENCE (ONLINE) A1
1554-8929,ACS CHEMICAL BIOLOGY A1
1554-8937,ACS CHEMICAL BIOLOGY A1
1948-7193,ACS CHEMICAL NEUROSCIENCE A1
2156-8952,ACS COMBINATORIAL SCIENCE A2
2472-3452,ACS EARTH AND SPACE CHEMISTRY B4
2373-8227,ACS INFECTIOUS DISEASES A1
2161-1653,ACS MACRO LETTERS A1
1948-5875,ACS MED CHEM LETT A2
1936-0851,ACS NANO A1
2470-1343,ACS OMEGA A3
2330-4022,ACS PHOTONICS A2
2379-3694,ACS SENSORS A1
2168-0485,ACS SUSTAINABLE CHEMISTRY & ENGINEERING A1
2161-5063,ACS SYNTHETIC BIOLOGY A1
0906-4710,"ACTA AGRICULTURAE SCANDINAVICA. SECTION B, SOIL AND PLANT SCIENCAE4"
0120-2812,ACTA AGRONOMICA B4
1809-4392,ACTA AMAZONICA B1
1677-7298,ACTA AMBIENTAL CATARINENSE B1
0001-5172,ACTA ANAESTHESIOLOGICA SCANDINAVICA A3
0353-5150,ACTA ANALYTICA A4
1234-950X,ACTA ANGIOLOGICA B4
2358-2375,ACTA APICOLA BRASILICA B3
0167-8019,ACTA APPLICANDAE MATHEMATICAE B1
0001-5202,ACTA ARACHNOLOGICA B4
0065-101X,ACTA ARCHAEOLOGICA (PAPIRFORM) B1
0094-5765,ACTA ASTRONAUTICA A1
0001-5237,ACTA ASTRONOMICA A1
1672-9145,ACTA BIOCHIMICA ET BIOPHYSICA SINICA A4
1726-569X,ACTA BIOETHICA (EN LÍNEA) B4
0120-548X,ACTA BIOLOGICA COLOMBIANA B1
1742-7061,ACTA BIOMATERIALIA A1
2236-0867,ACTA BIOMEDICA BRASILIENSIA B1
0325-2957,ACTA BIOQUÍMICA CLÍNICA LATINOAMERICANA B4
0001-5342,ACTA BIOTHEORETICA A2
1677-941X,ACTA BOTANICA BRASILICA B1
2526-4338,ACTA BRASILIENSIS B1
2526-432X,ACTA BRASILIENSIS B1
0001-5385,ACTA CARDIOLOGICA (IMPRIMÉ) B2
0583-6050,ACTA CARSOLOGICA B1
